n,npFCFS_r,npSJF_r,pSJF_r,roundRobin_r,hRRF_r
10,52.564095,39.768112,68.406265,67.157051,41.064659
50,161.645187,121.994431,143.409409,207.119522,115.829498
100,401.088165,297.430847,327.937256,509.108765,257.518036
10,58.529091,48.552845,62.392502,74.467918,49.221348
50,212.631439,139.384613,163.958878,236.604294,124.689133
100,435.256378,368.106445,368.906982,580.498230,296.581421
10,45.795719,39.247051,57.167599,59.074471,39.493065
50,244.661469,169.650787,215.119827,342.919647,175.189728
100,506.035461,426.232971,473.522552,777.228638,375.868286
10,57.411003,41.251026,55.972778,69.452148,42.434753
50,260.447906,217.389633,228.958679,362.104095,192.208466
100,434.213043,367.457916,388.796814,602.158569,306.667847
10,43.468922,35.282219,47.988739,41.275639,35.282219
50,275.031799,185.593658,209.985092,347.125549,176.729172
100,424.762695,336.606476,354.509552,557.203918,282.307159
10,49.621750,36.592186,62.475353,63.224361,38.021908
50,239.601974,176.587402,198.430923,295.612915,153.782181
100,423.771729,364.139160,345.452606,524.686584,271.303162
10,38.204082,23.995785,42.550827,43.969685,25.589062
50,236.002625,161.221619,210.980759,328.891632,154.003754
100,430.186035,385.099335,381.591064,603.737671,315.017639
10,45.442432,38.283459,59.621826,65.945213,39.076973
50,236.405289,163.159103,186.337799,289.566284,154.846436
100,440.717407,400.945862,393.788330,609.194214,308.880676
10,77.876297,61.170334,88.690605,102.388374,61.285973
50,220.561172,157.400635,212.723953,309.917755,164.183701
100,441.405731,378.083679,406.295593,652.095276,329.180206
10,35.618973,34.389839,60.447800,60.806934,34.693115
50,202.774200,159.984009,183.423706,258.408264,133.376266
100,447.460632,332.548431,384.019012,626.300110,317.934540
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
10,34.265980,23.432642,41.777462,40.995293,24.351305
50,193.505096,140.563980,165.170090,231.290375,118.940468
100,405.423981,341.412872,339.393982,524.307312,263.929901
